advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/volvo/xc60/cdlhoe.html,https://i.ss.lv/gallery/7/1319/329507/65901291.th2.jpg,VolvoXC 60,2013,2.4,D,243000,11500
/msg/lv/transport/cars/bmw/320/ccpfle.html,https://i.ss.lv/gallery/7/1308/326997/65399259.th2.jpg,Bmw320,2006,2.0,D,287000,4334
/msg/lv/transport/cars/volkswagen/touareg/bkxcik.html,https://i.ss.lv/gallery/7/1308/326762/65352237.th2.jpg,VolkswagenTouareg,2008,3.0,D,294000,4999
/msg/lv/transport/cars/volvo/s60/ceehdf.html,https://i.ss.lv/gallery/7/1250/312357/62471217.th2.jpg,VolvoS60,2006,2.4,D,250000,3300
/msg/lv/transport/cars/bmw/318/bkxxb.html,https://i.ss.lv/gallery/7/1318/329311/65862021.th2.jpg,Bmw318,2017,2.0,D,201000,16990
/msg/lv/transport/cars/toyota/verso/blnpfl.html,https://i.ss.lv/gallery/7/1295/323528/64705479.th2.jpg,ToyotaVerso,2010,2.0,D,,5600
/msg/lv/transport/cars/audi/a6/bjchxc.html,https://i.ss.lv/gallery/7/1319/329507/65901317.th2.jpg,AudiA6,1997,1.9,D,421000,1000
/msg/lv/transport/cars/seat/altea/cfmhkf.html,https://i.ss.lv/gallery/7/1315/328516/65703129.th2.jpg,SeatAltea,2007,2.0,D,284000,1999
/msg/lv/transport/cars/nissan/navara/cxxngh.html,https://i.ss.lv/gallery/7/1316/328968/65793589.th2.jpg,NissanNavara,2010,2.5,D,226000,7990
/msg/lv/transport/cars/lexus/rx/cexgif.html,https://i.ss.lv/gallery/7/1319/329507/65901244.th2.jpg,LexusRX,2006,3.5,,,3890
/msg/lv/transport/cars/skoda/octavia/ccecne.html,https://i.ss.lv/gallery/7/1319/329507/65901235.th2.jpg,SkodaOctavia,2008,1.9,D,396000,600
/msg/lv/transport/cars/bmw/316/hedep.html,https://i.ss.lv/gallery/7/1295/323551/64710074.th2.jpg,Bmw316,2001,1.6,,112000,1400
/msg/lv/transport/cars/ford/fiesta/epfxe.html,https://i.ss.lv/gallery/7/1310/327490/65497910.th2.jpg,FordFiesta,2005,1.3,,224000,1350
/msg/lv/transport/cars/mercedes/g63-amg/cbexkp.html,https://i.ss.lv/gallery/7/1296/323820/64763852.th2.jpg,MercedesG63 AMG,2023,4.0,,,199000
/msg/lv/transport/cars/bmw/530/bhlfxc.html,https://i.ss.lv/gallery/7/1311/327615/65522883.th2.jpg,Bmw530,2005,3.0,,358000,4400
/msg/lv/transport/cars/skoda/octavia/cdxdff.html,https://i.ss.lv/gallery/7/1315/328556/65711019.th2.jpg,SkodaOctavia,2008,1.9,D,140000,3150
/msg/lv/transport/cars/bmw/535/cdjipc.html,https://i.ss.lv/gallery/7/1319/329507/65901222.th2.jpg,Bmw535,2006,3.5,D,306000,4750
/msg/lv/transport/cars/renault/master/befcil.html,https://i.ss.lv/gallery/7/1305/326123/65224569.th2.jpg,RenaultMaster,2012,2.3,D,156000,12990
/msg/lv/transport/cars/honda/cr-v/cdgdmg.html,https://i.ss.lv/gallery/7/1318/329469/65893621.th2.jpg,HondaCr-v,2009,2.2,D,,6850
/msg/lv/transport/cars/volkswagen/golf-4/bdddbl.html,https://i.ss.lv/gallery/7/1319/329506/65901186.th2.jpg,VolkswagenGolf 4,2001,1.9,D,286000,1200
/msg/lv/transport/cars/mitsubishi/pajero/cfjko.html,https://i.ss.lv/gallery/7/1306/326427/65285362.th2.jpg,MitsubishiPajero,2006,3.2,D,,4490
/msg/lv/transport/cars/volkswagen/transporter/hnkoi.html,https://i.ss.lv/gallery/7/1282/320433/64086488.th2.jpg,VolkswagenTransporter,2005,2.0,D,205000,7000
/msg/lv/transport/cars/peugeot/partner/bcfgck.html,https://i.ss.lv/gallery/6/1136/283910/56781993.th2.jpg,PeugeotPartner,2014,,E,,4490
/msg/lv/transport/cars/land-rover/discovery/ccimdi.html,https://i.ss.lv/gallery/7/1310/327407/65481215.th2.jpg,Land RoverDiscovery,2019,2.0,D,125000,21900
/msg/lv/transport/cars/volvo/v50/ankio.html,https://i.ss.lv/gallery/7/1297/324209/64841753.th2.jpg,VolvoV50,2011,1.6,D,195000,5355
/msg/lv/transport/cars/chevrolet/trans-sport/bgchm.html,https://i.ss.lv/gallery/6/1196/298991/59798112.th2.jpg,ChevroletTrans Sport,2005,3.3,,326000,3427
/msg/lv/transport/cars/volkswagen/crafter/ccgobx.html,https://i.ss.lv/gallery/7/1292/322970/64593888.th2.jpg,VolkswagenCrafter,2010,2.5,D,401000,3199
/msg/lv/transport/cars/volvo/v40/hoejj.html,https://i.ss.lv/gallery/7/1319/329506/65901023.th2.jpg,VolvoV40,2017,2.0,D,157000,10305
/msg/lv/transport/cars/mercedes/cl500/ffnxf.html,https://i.ss.lv/gallery/7/1289/322098/64419591.th2.jpg,MercedesCL500,2001,5.0,,379000,6300
/msg/lv/transport/cars/audi/a4/dhjfp.html,https://i.ss.lv/gallery/7/1297/324128/64825575.th2.jpg,AudiA4,2008,2.0,D,284000,5970
/msg/lv/transport/cars/skoda/kodiaq/ccnmhk.html,https://i.ss.lv/gallery/7/1319/329504/65900629.th2.jpg,SkodaKodiaq,2020,1.5,,60000,20290
/msg/lv/transport/cars/skoda/fabia/cdlfdi.html,https://i.ss.lv/gallery/7/1319/329506/65901085.th2.jpg,SkodaFabia,2005,1.4,,347000,1350
/msg/lv/transport/cars/audi/a6/bimgdh.html,https://i.ss.lv/gallery/7/1318/329315/65862962.th2.jpg,AudiA6,2005,2.7,D,380000,3400
/msg/lv/transport/cars/bmw/320/cddmii.html,https://i.ss.lv/gallery/7/1319/329506/65901133.th2.jpg,Bmw320,2006,2.0,D,339000,2495
/msg/lv/transport/cars/bmw/318/hbdmo.html,https://i.ss.lv/gallery/7/1318/329444/65888637.th2.jpg,Bmw318,2002,1.8,,214000,1300
/msg/lv/transport/cars/ford/focusc-max/bkkdkx.html,https://i.ss.lv/gallery/7/1319/329506/65901097.th2.jpg,FordC-Max,2014,2.0,D,318000,4500
/msg/lv/transport/cars/volkswagen/caddy/bjbdkl.html,https://i.ss.lv/gallery/7/1280/319957/63991389.th2.jpg,VolkswagenCaddy,2011,1.6,D,298000,2950
/msg/lv/transport/cars/renault/laguna/heemf.html,https://i.ss.lv/gallery/7/1319/329502/65900391.th2.jpg,RenaultLaguna,2001,1.8,,206000,990
/msg/lv/transport/cars/ford/transit/bejkhj.html,https://i.ss.lv/gallery/7/1313/328249/65649729.th2.jpg,FordTransit,2016,2.2,D,360000,12000
/msg/lv/transport/cars/renault/master/bhncxl.html,https://i.ss.lv/gallery/7/1316/328792/65758376.th2.jpg,RenaultMaster,2006,2.5,D,235000,6450
/msg/lv/transport/cars/ford/s-max/cdondd.html,https://i.ss.lv/gallery/7/1319/329505/65900934.th2.jpg,FordS-Max,2008,1.8,D,227000,3990
/msg/lv/transport/cars/bmw/x5/bixxnc.html,https://i.ss.lv/gallery/7/1313/328241/65648010.th2.jpg,BmwX5,2007,3.0,,245000,16200
